scenario,Total_Time,Time_Script,Time_Image,Time_Voice,Time_Video,Problem Size,Predicted Problem Size,setting,Script
85,61.19,5.43,18.92,7.82,2.03,bummer,bummer,tennis,"Alex was looking forward to the tennis tournament all month.On the day of the match, Alex realized the racket string had snapped, and there was no backup racket available.Without the right equipment, Alex's performance was affected, and it seemed likely they'd lose the match.This disappointment would linger for a while, as it was a big event.Alex thought to himself, ""How big is this problem?"""
86,73.17,16.23,20.38,8.58,1.97,bummer,bummer,field trip,"Ella, a 12-year-old girl, was excited for her class field trip to the science museum.On the way, she realized she forgot to pack her lunch and had no extra money to buy food.There was no way to easily go back and get it or borrow food.Thinking about how she'd manage the day with an empty stomach, Ella felt both disappointed and anxious.With a sigh, she asked herself, 'How big is this problem?'"
87,65.56,8.66,17.76,8.79,2.04,bummer,bummer,soccer,"Liam had an important soccer game in the park today, but he forgot his cleats at home.The coach told him he had to sit out because it was unsafe to play in sneakers.Liam felt upset because he couldn't participate and help his team, which was a bummer.There were no extra cleats available, so Liam had to wait until the next game to play.Liam asked himself, 'How big is this problem?'"
88,67.16,9.89,20.52,7.97,1.80,bummer,bummer,tennis,"Maya was excited about her big tennis match at school today.As she was warming up, she realized she had left her tennis shoes at home.There were no spare shoes available, and playing without them would affect her performance.Maya felt frustrated and worried about how she'd perform without proper shoes.She wondered to herself, ""How big is this problem?"""
89,62.99,7.42,24.47,6.54,2.01,bummer,bummer,curling,"Jamie was excited to play in the curling tournament with his friends at the local ice rink.As the game began, Jamie realized he had forgotten his special curling gloves at home, which helped him grip the stone better.There were no spare gloves available at the rink and without them, he couldn't aim as well as he usually did.Feeling a bit discouraged, he wondered how this might affect his performance and asked himself, 'How big is this problem?'"
90,59.60,3.72,19.06,7.98,1.70,bummer,bummer,vacation,"Liam, a 12-year-old boy, was excited for his beach vacation with his family.When they arrived, he realized he left his swim trunks at home.Unfortunately, there were no stores nearby to buy a new pair.This meant he couldn't swim for the entire trip without them.Liam wondered, ""How big is this problem?"""
91,75.74,10.31,20.24,7.90,2.06,bummer,bummer,field trip,"Dylan was excited for the school field trip to the planetarium.Once they arrived, Dylan realized he left his camera at home, which he had saved up for weeks to buy.There was no way to go back and get it, and he felt upset thinking he couldn't capture the memories.The teacher promised to share photos with him later, but Dylan still felt his day was spoiled.Dylan asked himself, ""How big is this problem?"""
92,72.45,8.97,23.32,7.86,1.86,bummer,bummer,vacation,"Ella was on vacation with her family at the beach, eagerly waiting to build a sandcastle.When they unpacked, Ella realized she had forgotten her bucket and spade at home.They looked around, but there were no shops nearby selling beach toys.Ella felt sad knowing she couldn’t build the sandcastle she had imagined.She asked herself, ""How big is this problem?"""
93,64.36,7.49,19.93,7.91,1.90,bummer,bummer,soccer,"Jessica was excited about her big soccer match at the school field.As the match was about to start, she realized she forgot her lucky soccer jersey at home.There was no time to go back and get it, and she didn't have a backup jersey.Jessica felt that her performance might be affected without her lucky jersey.She wondered to herself, ""How big is this problem?"""
94,59.49,4.27,24.22,8.16,1.93,bummer,bummer,game,"Dylan was excited about playing his favorite video game tournament at the arcade.Just as he arrived, he realized he had forgotten his special gaming controller at home.There was no backup available at the arcade.Without it, he felt his performance would suffer in the competition.Dylan wondered to himself, ""How big is this problem?"""
95,50.23,3.25,19.35,6.68,1.88,bummer,bummer,game,"Jasper, a 16-year-old, discovered his gaming console was malfunctioning during an important online tournament.The screen froze, and he couldn’t reconnect to the game, leaving his team at a disadvantage.There was no quick fix, and he knew his team might lose valuable points.Jasper sat back in his chair and whispered to himself, 'How big is this problem?'"
96,59.67,5.65,19.65,6.56,1.86,bummer,bummer,volleyball,"12-year-old Mia was all set for her big volleyball tournament when she realized she'd left her lucky knee pads at home.There were no spare knee pads available, and she felt uneasy about playing without them.Mia worried that playing without her knee pads might affect her confidence and performance in the game.The match was about to start, and Mia questioned herself, ""How big is this problem?"""
97,70.06,10.26,20.22,9.13,2.26,bummer,bummer,class,"In the middle of Mr. Carter's math class, 15-year-old Alex realizes he forgot the permission slip for the important school field trip.Without it, he’s not allowed to join the trip to the museum tomorrow, and there’s no backup plan.Alex feels a wave of disappointment because he’s been looking forward to this trip for weeks.He knows he’ll probably need to convince his parents to drop it off at school, which will take time and effort.Alex asks himself, ""How big is this problem?"""
98,67.73,4.45,21.17,8.44,1.99,bummer,bummer,basketball,"Liam had been practicing for weeks for the school's big basketball match.On the day of the match, he realized he had forgotten his lucky basketball shoes at home.There was no way to go back home in time to get them, and he felt his performance might suffer.His coach offered him a spare pair, but they felt uncomfortable and unfamiliar.Sitting on the bench, Liam pondered, 'How big is this problem?'"
99,60.20,5.37,19.18,7.55,2.01,bummer,bummer,curling,"Alex was getting ready for the regional curling championship.Just before the match, he realized he forgot his favorite broom at home.Without his favorite broom, Alex felt unprepared and worried about his performance.The team manager promised to help find a suitable replacement, but Alex knew it wouldn't feel the same.As he stood on the ice, Alex asked himself, ""How big is this problem?"""
100,67.73,7.95,21.83,8.06,2.15,bummer,bummer,volleyball,"Maria was excited to play in her school's volleyball tournament, but when she opened her bag, she realized she forgot her sneakers.Without them, playing on the hardwood court would be difficult and slippery, reducing her performance.Maria's friends didn't have spare shoes in her size, and there wasn’t enough time to go home and get them.She sat on the bench, feeling disappointed, as the chance to play the match slipped away.Maria thought to herself, ""How big is this problem?"""
