scenario,Total_Time,Time_Script,Time_Image,Time_Voice,Time_Video,Problem Size,Predicted Problem Size,setting,Script
79,60.49,7.3,19.28,4.13,7.79,disaster,disaster,basketball,"Liam was playing basketball with friends when a massive storm hit, causing the gym roof to collapse.Everyone rushed outside, but Liam noticed a friend, Alex, was missing and still inside.He could hear the groaning of the collapsing building, worrying about Alex's safety.Emergency crews arrived, but it would take time to ensure everyone was safe.Liam asked himself, ""How big is this problem?"""
80,51.73,6.49,12.58,4.07,7.78,disaster,disaster,curling,"Alex, a 12-year-old, was at a curling competition when a fire broke out in the arena.The fire alarm blared loudly, causing panic among the spectators and competitors.Flames quickly spread, and the smoke made it hard to see and breathe.Alex realized that some exits were blocked, making evacuation difficult.He thought to himself, ""How big is this problem?"""
81,59.26,10.51,14.21,4.8,8.49,disaster,disaster,after school club,"Liam, a 17-year-old, was at his after-school club when a loud alarm suddenly blared.The teacher announced that there was a fire in the school's kitchen, and everyone needed to evacuate immediately.As they moved outside, Liam realized his backpack, with his wallet and important project work, was left inside the building.The fire department arrived swiftly, but the damage to the building was extensive despite their efforts.Standing outside with classmates, Liam thought to himself, ""How big is this problem?"""
82,59.04,5.3,19.7,4.31,8.33,disaster,disaster,dancing,"Emily was practicing for her debut ballet performance when their house was suddenly struck by a severe fire.The fire spread quickly, causing everyone to evacuate, leaving Emily's dance costume and equipment inside.Emily watched helplessly as the firefighters battled the flames, unsure if anything could be saved.There was no quick fix to this situation, and Emily realized that rebuilding would take a long time.As she stood there, she found herself asking, ""How big is this problem?"""
83,55.73,7.4,15.12,5.28,8.02,disaster,disaster,tryout,"Emily, a 15-year-old girl, was getting ready for her piano competition when she noticed smoke coming from her neighbor's house.Fearing a fire could spread, Emily called for her parents and they quickly evacuated their home.Despite the fire department's quick arrival, the damage was extensive, and Emily's family's belongings were at risk of being lost.Emily's piano, an important part of her life, was still inside, and the uncertainty of its fate troubled her deeply.As she stood with her family, Emily asked herself, 'How big is this problem?'"
84,69.54,10.48,20.07,4.44,8.49,disaster,disaster,lacrosse,"In an unexpected turn of events, the lacrosse team, including 15-year-old Alex, found themselves trapped as a severe storm hit during practice.The storm intensified quickly, turning the field into a dangerous area with fast-rising water and lightning striking nearby.The coach, unable to reach anyone for immediate rescue, hurriedly directed the team to take shelter in the nearby clubhouse.Despite the coach's efforts, the situation seemed dire without immediate help forthcoming and the safety of the team was in question as the storm raged on.Alex asked himself, ""How big is this problem?"""
85,61.55,7.36,21.57,4.39,7.97,disaster,disaster,art,"Jamie was at the art gallery with his family when a massive earthquake suddenly hit.The building shook violently, and pieces of plaster from the ceiling began to fall.Everyone started to panic and rush towards the exits to find a safe place.Jamie could hear glass shattering and alarms going off around him.As he stood amidst the chaos, Jamie asked himself, ""How big is this problem?"""
86,60.15,6.2,19.02,4.03,7.52,disaster,disaster,after school club,"Emma was at the after school club when they heard the loud crackle of flames nearby.Everyone quickly realized it was the building next door that had caught fire.The teachers hurried to evacuate everyone safely, urging the children to stay calm.Emma felt her heart race, worried about her friends and what might happen next.Standing outside, Emma asked herself, 'How big is this problem?'"
87,65.73,8.86,25.77,4.05,7.87,disaster,disaster,birthday party,"Emma was excited as her 10th birthday party started, but suddenly, the sprinklers in the hall went off.Water began flooding the room, soaking everything from the birthday cake to the presents.The guests quickly ran outside, and Emma’s dad called for help, but the damage was already significant.The party was ruined, and it would take a lot of help and time to recover what was lost.Emma sat on a bench, trying to understand everything, asking herself, ""How big is this problem?"""
88,58.49,8.24,18.88,3.92,7.39,disaster,disaster,birthday party,"Sarah was excited for her birthday party when a sudden storm hit their town, causing a major flood.The waters began to rise quickly, making it unsafe for anyone to leave or enter the house.Her party was cancelled, and her family had to move to the attic to stay dry.There was no quick solution, and they could only wait for help from emergency services.Sarah wondered to herself, ""How big is this problem?"""
89,47.81,3.68,12.49,4.37,7.41,disaster,disaster,ski,"Emily was skiing with her family when a sudden avalanche hit the trail.The snow quickly covered the path and separated her from her parents.She found herself alone and was unsure of how to get to safety.There was no immediate way to contact her family due to poor signal and heavy snow.Emily thought to herself, 'How big is this problem?'"
90,56.37,5.73,14.88,4.04,7.64,disaster,disaster,tryout,"In the middle of Lucas's soccer tryouts, a sudden storm causes severe flooding in his town.The flooding gets worse, reaching homes and threatening the safety of his family.Lucas and his family are evacuated to a nearby shelter with many others.There is no quick fix as the floodwaters continue to rise, causing damage and uncertainty.Sitting in the shelter, Lucas wonders aloud, ""How big is this problem?"""
91,57.61,8.28,15.57,4.32,8.55,disaster,disaster,soccer,"Sam, a 15-year-old boy, was playing soccer at the local community park when a powerful storm suddenly hit the area.The wind picked up drastically, bending the goalposts and sending debris flying across the field.Caught in the chaos, Sam heard a loud crash and realized a tree had fallen, blocking the only exit and threatening nearby players.Thankfully, an adult quickly ushered everyone to a safer area, but Sam was terrified thinking about his friends’ safety and the blocked escape path.As he looked around at the chaos, Sam asked himself, ""How big is this problem?"""
92,60.62,6.05,20.14,4.29,8.49,disaster,disaster,art,"Alex, a 16-year-old artist, was at the annual art exhibition when the gallery suddenly caught fire.The fire quickly spread, threatening the entire building and all the art within it, including Alex's prized painting.The damage was extensive, with much of the artwork inside burnt or destroyed, making recovery seem daunting.Emergency responders arrived, but it was clear that the recovery and loss were significant for all artists involved.Standing outside, Alex wondered, ""How big is this problem?"""
93,63.08,6.38,19.99,3.96,7.89,disaster,disaster,soccer,"Emma was eagerly participating in a soccer game at her local park when she heard a loud thunderclap.Suddenly, a lightning strike caused a nearby tree to catch fire, sending everyone into panic.The coach quickly gathered the team and moved them to a safe area, but the fire spread quickly.Firefighters arrived on the scene, but the damage was already significant, affecting nearby homes.Emma looked at the chaotic scene and thought, 'How big is this problem?'"
94,61.08,6.57,19.39,4.14,8.27,disaster,disaster,swimming,"It was a sunny afternoon when 10-year-old Mia was enjoying a refreshing swim at the community pool with her friends.Suddenly, a loud alarm blared, and lifeguards started instructing everyone to evacuate immediately due to an unseen electrical issue affecting pool safety.In the chaos, Mia realized her younger brother, Leo, was still in the water, unnoticed by the rushing crowd.Panicked, Mia’s heart raced as she called out to him, hoping he would hear her over the noise.Mia whispered to herself, ""How big is this problem?"""
95,62.01,7.17,21.5,4.36,7.13,disaster,disaster,birthday party,"Emily was excitedly setting up balloons for her birthday party at home.Suddenly, she heard a loud crash and ran to the kitchen to find smoke everywhere.Her mom explained that a fire had started in the oven, making the house unsafe.With the fire department on the way, Emily wondered about her ruined birthday and home.She asked herself quietly, 'How big is this problem?'"
96,58.59,6.2,19.36,4.62,8.12,disaster,disaster,curling,"Jenna, a 16-year-old curling enthusiast, was practicing with her team when a loud crash came from the club's main entrance.Rushing to the entrance, they found that a massive snowstorm had taken down a large power line, causing a fire.The fire spread quickly, threatening to destroy valuable equipment and potentially causing harm to anyone nearby.Emergency services were called, but it was unclear how long it would take to get the situation under control safely.Jenna stood back, taking deep breaths, and asked herself, ""How big is this problem?"""
97,70.26,8.23,28.88,4.07,7.9,disaster,bummer,volleyball,"Sophie was playing volleyball at the beach when a sudden storm hit, making the waves dangerously high.The strong winds knocked over the volleyball net and scattered their belongings across the sand.Her phone, which was lying on the towel, got swept away by the tide and disappeared under the water.Everyone rushed to safety, but Sophie worried about her lost phone and the expensive things inside her wet bag.Sophie asked herself, ""How big is this problem?"""
98,57.28,6.18,17.87,4.12,7.65,disaster,disaster,class,"In a small town, an unexpected flood hits the local school, leaving it severely damaged.Emily, a 12-year-old girl, hears that the flood has destroyed classrooms, books, and supplies.The school announces an indefinite closure while repairs are made.Emily wonders about her friends and the upcoming exams, feeling scared about the uncertainty.Emily quietly asks herself, ""How big is this problem?"""
99,55.32,7.74,14.34,3.94,7.91,disaster,disaster,volleyball,"Liam was excited as he entered the large volleyball stadium, buzzing with energy for the championship game.Suddenly, an unexpected storm caused a power outage, leaving everyone in complete darkness.In the chaos, panic spread as emergency exits became congested with confused fans trying to leave.Liam's heart raced as he worried about finding his friends and making it home safely.He thought to himself, 'How big is this problem?'"
100,56.1,7.73,13.8,4.14,7.72,disaster,disaster,after school club,"Jamal, a 12-year-old boy, was excited for the science experiment at his after-school club.Suddenly, a loud explosion startled everyone as a fire broke out in the lab.The alarm rang, and teachers rushed to evacuate the students safely.Thankfully, no one was hurt, but the lab was badly damaged.Jamal asked himself, ""How big is this problem?"""
