type,Alignment1,Alignment2,Alignment3,Alignment4,AVG Alignment,Aesthetics1,Aesthetics2,Aesthetics3,Aesthetics4,AVG Aesthetics
DALL-E 3,5,4,5,4,4.5,4,3,4,3,3.5
GPT-4o,4,4,3,4,3.75,4,4,4,3,3.75
DALL-E 3,4,3,2,5,3.5,3,3,4,2,3
GPT-4o,5,5,4,5,4.75,4,5,5,4,4.5
DALL-E 3,2,3,2,4,2.75,3,3,3,3,3
GPT-4o,4,5,5,5,4.75,4,5,5,5,4.75
DALL-E 3,2,2,2,3,2.25,4,3,4,1,3
GPT-4o,5,5,4,5,4.75,5,5,5,5,5
DALL-E 3,3,3,4,3,3.25,3,3,4,4,3.5
GPT-4o,5,5,5,5,5,5,5,5,5,5
DALL-E 3,3,3,4,5,3.75,5,3,4,5,4.25
GPT-4o,4,4,4,5,4.25,5,5,5,5,5
DALL-E 3,4,4,3,4,3.75,3,4,5,2,3.5
GPT-4o,5,5,5,5,5,5,5,5,5,5
DALL-E 3,3,4,5,4,4,3,4,4,4,3.75
GPT-4o,4,5,5,5,4.75,4,5,5,5,4.75
DALL-E 3,3,4,2,5,3.5,2,3,4,3,3
GPT-4o,4,5,5,5,4.75,5,4,5,5,4.75
DALL-E 3,4,3,3,5,3.75,3,3,4,3,3.25
GPT-4o,4,4,4,5,4.25,5,4,5,4,4.5
DALL-E 3,4,3,3,4,3.5,2,3,3,2,2.5
GPT-4o,4,5,5,5,4.75,5,5,5,5,5
DALL-E 3,3,3,2,3,2.75,3,3,3,2,2.75
GPT-4o,5,5,5,5,5,5,5,5,5,5
DALL-E 3,4,2,1,2,2.25,2,2,4,1,2.25
GPT-4o,5,5,3,4,4.25,4,4,5,2,3.75
DALL-E 3,2,2,2,4,2.5,2,3,3,2,2.5
GPT-4o,5,5,5,5,5,4,5,4,5,4.5
DALL-E 3,3,3,3,4,3.25,4,3,4,3,3.5
GPT-4o,5,4,5,5,4.75,5,4,5,5,4.75
DALL-E 3,4,4,4,3,3.75,4,4,4,2,3.5
GPT-4o,5,5,5,5,5,4,5,5,5,4.75
DALL-E 3,1,2,1,3,1.75,3,2,3,2,2.5
GPT-4o,5,5,3,5,4.5,5,5,5,5,5
DALL-E 3,2,3,2,2,2.25,3,3,4,2,3
GPT-4o,5,5,5,5,5,5,5,5,5,5
DALL-E 3,3,3,3,4,3.25,3,3,4,2,3
GPT-4o,5,5,4,5,4.75,5,4,5,5,4.75
DALL-E 3,3,3,1,3,2.5,4,3,4,2,3.25
GPT-4o,4,4,4,5,4.25,5,4,5,5,4.75
DALL-E 3,3,3,3,4,3.25,3,3,4,3,3.25
GPT-4o,5,5,5,5,5,4,5,5,5,4.75
DALL-E 3,5,3,4,5,4.25,4,3,3,2,3
GPT-4o,2,2,2,2,2,3,5,5,5,4.5
DALL-E 3,1,1,1,2,1.25,2,3,4,3,3
GPT-4o,5,4,5,5,4.75,5,4,5,5,4.75
DALL-E 3,3,3,4,4,3.5,3,3,4,3,3.25
GPT-4o,5,5,5,5,5,5,4,5,3,4.25
DALL-E 3,3,3,2,3,2.75,4,4,3,4,3.75
GPT-4o,5,4,4,5,4.5,5,5,4,5,4.75
DALL-E 3,2,3,3,2,2.5,4,3,4,3,3.5
GPT-4o,5,5,5,5,5,5,5,5,5,5
DALL-E 3,4,3,3,4,3.5,4,3,4,3,3.5
GPT-4o,5,4,5,5,4.75,5,4,5,5,4.75
DALL-E 3,2,3,2,2,2.25,2,3,4,2,2.75
GPT-4o,5,5,5,5,5,5,5,5,5,5
DALL-E 3,3,3,4,3,3.25,3,3,5,3,3.5
GPT-4o,5,5,5,5,5,5,4,5,5,4.75
DALL-E 3,4,4,3,4,3.75,5,3,4,5,4.25
GPT-4o,5,5,5,5,5,5,5,5,5,5
DALL-E 3,3,3,3,3,3,4,3,4,3,3.5
GPT-4o,5,5,5,5,5,5,5,5,5,5
DALL-E 3,3,3,3,4,3.25,1,3,3,2,2.25
GPT-4o,4,4,5,5,4.5,5,4,4,5,4.5
DALL-E 3,3,3,4,4,3.5,4,3,4,5,4
GPT-4o,5,5,5,5,5,5,5,5,5,5
DALL-E 3,4,4,3,4,3.75,3,4,4,3,3.5
GPT-4o,5,5,5,5,5,5,5,5,5,5
DALL-E 3,4,4,3,4,3.75,4,3,4,4,3.75
GPT-4o,5,5,5,5,5,5,5,5,5,5
DALL-E 3,2,2,1,3,2,3,3,3,2,2.75
GPT-4o,5,3,2,5,3.75,5,3,4,3,3.75
DALL-E 3,4,4,3,4,3.75,4,3,3,4,3.5
GPT-4o,4,4,4,5,4.25,4,3,4,5,4
DALL-E 3,4,4,3,4,3.75,4,3,4,3,3.5
GPT-4o,5,5,5,5,5,5,5,5,5,5
DALL-E 3,3,3,2,4,3,4,3,2,3,3
GPT-4o,5,5,5,5,5,5,5,5,5,5
DALL-E 3,4,4,5,4,4.25,3,3,3,3,3
GPT-4o,5,5,5,5,5,5,5,4,5,4.75
DALL-E 3,4,3,4,4,3.75,4,3,2,3,3
GPT-4o,5,5,5,5,5,5,5,5,5,5
DALL-E 3,3,2,1,3,2.25,3,2,3,2,2.5
GPT-4o,5,5,5,5,5,4,5,5,5,4.75
DALL-E 3,5,4,4,4,4.25,2,3,4,3,3
GPT-4o,5,5,5,5,5,5,5,5,5,5
DALL-E 3,2,2,1,2,1.75,2,2,2,2,2
GPT-4o,4,4,4,4,4,4,3,3,2,3
DALL-E 3,4,3,4,4,3.75,3,3,3,5,3.5
GPT-4o,5,5,4,5,4.75,4,3,4,2,3.25
DALL-E 3,2,1,2,2,1.75,3,1,4,4,3
GPT-4o,5,5,5,5,5,5,5,5,5,5
DALL-E 3,3,2,2,4,2.75,3,3,4,3,3.25
GPT-4o,4,5,5,5,4.75,4,5,5,5,4.75
DALL-E 3,3,4,2,3,3,2,4,3,1,2.5
GPT-4o,5,5,5,5,5,5,5,5,5,5
DALL-E 3,4,3,2,4,3.25,2,3,4,2,2.75
GPT-4o,5,5,5,5,5,5,5,4,5,4.75
DALL-E 3,4,3,4,4,3.75,3,3,3,2,2.75
GPT-4o,4,4,4,4,4,3,4,4,4,3.75
DALL-E 3,2,3,3,4,3,3,3,3,2,2.75
GPT-4o,5,5,5,5,5,5,5,4,5,4.75
DALL-E 3,4,4,4,4,4,3,3,4,1,2.75
GPT-4o,5,5,5,5,5,5,5,5,5,5
DALL-E 3,3,3,2,3,2.75,3,3,4,4,3.5
GPT-4o,5,5,5,5,5,5,5,5,5,5
DALL-E 3,4,4,4,4,4,4,4,4,4,4
GPT-4o,5,5,5,5,5,4,5,4,5,4.5
DALL-E 3,4,4,3,4,3.75,2,3,4,2,2.75
GPT-4o,5,5,5,5,5,5,5,5,5,5
DALL-E 3,4,4,3,5,4,3,4,5,2,3.5
GPT-4o,4,5,4,5,4.5,3,5,5,4,4.25
DALL-E 3,3,4,2,4,3.25,3,3,5,3,3.5
GPT-4o,5,5,5,5,5,5,5,5,5,5
DALL-E 3,3,3,4,3,3.25,4,3,5,4,4
GPT-4o,5,5,5,5,5,5,5,5,5,5
DALL-E 3,4,4,2,5,3.75,2,3,3,2,2.5
GPT-4o,5,5,4,5,4.75,5,5,4,5,4.75
DALL-E 3,3,3,2,5,3.25,3,3,3,2,2.75
GPT-4o,4,5,5,5,4.75,5,5,5,5,5
DALL-E 3,3,3,4,4,3.5,2,4,3,4,3.25
GPT-4o,5,5,5,5,5,4,5,4,5,4.5
DALL-E 3,2,2,2,2,2,4,3,3,2,3
GPT-4o,5,5,5,5,5,5,5,4,5,4.75
DALL-E 3,4,3,4,4,3.75,3,3,3,1,2.5
GPT-4o,5,5,5,5,5,5,5,4,5,4.75
DALL-E 3,1,1,1,2,1.25,2,3,3,2,2.5
GPT-4o,5,5,5,5,5,4,4,5,4,4.25
DALL-E 3,3,3,4,4,3.5,5,3,4,3,3.75
GPT-4o,5,5,5,5,5,5,5,5,5,5
DALL-E 3,3,3,3,3,3,3,3,3,4,3.25
GPT-4o,5,5,5,5,5,4,4,5,5,4.5
DALL-E 3,2,2,2,2,2,2,3,2,2,2.25
GPT-4o,5,5,5,5,5,5,5,4,5,4.75
DALL-E 3,1,2,1,2,1.5,2,2,3,2,2.25
GPT-4o,3,4,3,3,3.25,5,3,4,5,4.25
DALL-E 3,3,3,4,3,3.25,2,3,4,5,3.5
GPT-4o,4,5,5,5,4.75,4,5,4,5,4.5
DALL-E 3,3,3,4,4,3.5,4,3,3,5,3.75
GPT-4o,5,5,5,5,5,5,5,5,5,5
DALL-E 3,4,4,4,4,4,3,4,4,5,4
GPT-4o,5,5,4,5,4.75,4,5,5,5,4.75
